book_id,title,author,genre,publication_year,publisher,language,page_count,rating,description,isbn,price
360,Verukal,M.T. Vasudevan Nair,Fiction,1966,DC Books,Malayalam,200,4.7,"A novel about family roots and nostalgia.",978-8126400401,9.99
361,Thiranjedutha Kathakal,Vaikom Muhammad Basheer,Short Stories,1972,DC Books,Malayalam,300,4.8,"A collection of selected short stories.",978-8126400418,12.99
362,Neermathalam Pootha Kalam,Madhavikkutty,Short Stories,1972,DC Books,Malayalam,200,4.6,"A collection of short stories by Kamala Das.",978-8126400425,10.99
363,Chidambara Rahasyam,Subhash Chandran,Fiction,2010,DC Books,Malayalam,400,4.5,"A novel about the mysteries of life and death.",978-8126400432,13.99
364,Meesha,S. Hareesh,Fiction,2018,DC Books,Malayalam,400,4.7,"A novel exploring caste and identity in Kerala.",978-8126400449,14.99
365,Pravasam,M. Mukundan,Fiction,2008,DC Books,Malayalam,350,4.6,"A novel about the Malayali diaspora.",978-8126400456,12.99
366,Shankhumukham,Subhash Chandran,Fiction,2014,DC Books,Malayalam,300,4.5,"A novel set in the coastal region of Kerala.",978-8126400463,11.99
367,Paradesi,Abdul Rahman,Fiction,2007,DC Books,Malayalam,250,4.4,"A novel about migration and displacement.",978-8126400470,10.99
368,Premalekhanam,Vaikom Muhammad Basheer,Romance,1943,DC Books,Malayalam,120,4.7,"A humorous love story.",978-8126400487,8.99
369,Ottal,Geethu Mohandas,Children's Fiction,2014,DC Books,Malayalam,100,4.6,"A story about a boy and his grandfather.",978-8126400494,7.99
370,Swapnam,Vaikom Muhammad Basheer,Fiction,1951,DC Books,Malayalam,120,4.5,"A novel about dreams and reality.",978-8126400500,8.99
371,Thakazhi Kathakal,Thakazhi Sivasankara Pillai,Short Stories,1970,DC Books,Malayalam,300,4.7,"A collection of short stories.",978-8126400517,12.99
372,Sooryante Maranum,Vaikom Muhammad Basheer,Fiction,1977,DC Books,Malayalam,120,4.6,"A novel about the end of an era.",978-8126400524,8.99
373,Pathiravayilla Raavil,Vaikom Muhammad Basheer,Fiction,1959,DC Books,Malayalam,120,4.5,"A story about a night without midnight.",978-8126400531,8.99
374,Shavam,Subhash Chandran,Fiction,2015,DC Books,Malayalam,300,4.4,"A novel about death and the afterlife.",978-8126400548,10.99
375,Chuvappu Naada,Vaikom Muhammad Basheer,Fiction,1960,DC Books,Malayalam,120,4.5,"A novel about revolution and change.",978-8126400555,8.99
376,Chila Nerangalil Chila Manushyar,Malayattoor Ramakrishnan,Fiction,1970,DC Books,Malayalam,250,4.6,"A novel about human nature and relationships.",978-8126400562,11.99
